事件,事件编码,事件等级,事件名称,版本号,事件类型,埋点触发时机,上报端,应用场景,是否落G库,通用/定制,事件备注,序号,字段,字段分类,字段名称,是否必传,是否为枚举,字段类型,字段说明,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,grow_type,扩展,成长大类,是,是,dimension,来源游戏，成长类型【研发自定义枚举见sheet-Grow枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,13,before_value,扩展,变化前值,是,否,int,来源游戏，变化前值,,,,,,,,,,,,
,,,,,,,,,,,,14,after_value,扩展,变化后值,是,否,int,来源游戏，变化后值,,,,,,,,,,,,
,,,,,,,,,,,,15,change_value,扩展,变化值,是,否,int,来源游戏，变化值,,,,,,,,,,,,
物品获得,105030,B,get_item,1.0 ,角色事件,角色获得物品时记录,服务端,"产销监控/重要道具产销监控
客诉处理/客服明细查询工具",是,通用,"{
""format"": ""通过【{op_type}】【{op_type1}】【{op_type2}】【{op_type3}】获得物品 【{item_id}】【{change_amount}】个，数量从【{before_amount}】变化为 【{after_amount}】个"",
""filters"": [{
""field"": ""item_id"",
""op"": ""neq"",
""params"": [""200000061""]
}
???????
???????? ]
}",1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,item_id,扩展,物品id,是,否,dimension,来源游戏，物品id,,,,,,,,,,,,
,,,,,,,,,,,,13,item_instance_id,扩展,物品唯一id,是,否,string,来源游戏，物品唯一id,,,,,,,,,,,,
,,,,,,,,,,,,14,change_amount,扩展,变化数量,是,否,int,来源游戏，物品变化数量,,,,,,,,,,,,
,,,,,,,,,,,,15,before_amount,扩展,变化前值,是,否,int,来源游戏，变化前值,,,,,,,,,,,,
,,,,,,,,,,,,16,after_amount,扩展,变化后值,是,否,int,来源游戏，变化后值,,,,,,,,,,,,
,,,,,,,,,,,,17,op_type,扩展,变化行为分类,是,是,dimension,来源游戏，变化行为分类【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,18,op_type1,扩展,扩展参数,否,是,dimension,来源游戏，其他补充信息内容【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,19,op_type2,扩展,扩展属性2,否,是,dimension,来源游戏，其他补充信息内容【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,20,op_type3,扩展,扩展属性3,否,是,dimension,来源游戏，其他补充信息内容【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
物品消耗,105040,B,use_item,1.0 ,角色事件,角色消耗物品时记录,服务端,"产销监控/重要道具产销监控
客诉处理/客服明细查询工具",是,通用,"{
""format"": ""通过【{op_type}】【{op_type1}】【{op_type2}】【{op_type3}】消耗物品 【{item_id}】【{change_amount}】个，数量从【{before_amount}】变化为 【{after_amount}】个"",
""filters"": [{
""field"": ""item_id"",
""op"": ""neq"",
""params"": [""200000061""]
}
???????
???????? ]
}",1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,item_id,扩展,物品id,是,否,dimension,来源游戏，物品id,,,,,,,,,,,,
,,,,,,,,,,,,13,item_instance_id,扩展,物品唯一id,是,否,string,来源游戏，物品唯一id,,,,,,,,,,,,
,,,,,,,,,,,,14,change_amount,扩展,变化数量,是,否,int,来源游戏，物品变化数量,,,,,,,,,,,,
,,,,,,,,,,,,15,before_amount,扩展,变化前值,是,否,int,来源游戏，变化前值,,,,,,,,,,,,
,,,,,,,,,,,,16,after_amount,扩展,变化后值,是,否,int,来源游戏，变化后值,,,,,,,,,,,,
,,,,,,,,,,,,17,op_type,扩展,变化行为分类,是,是,dimension,来源游戏，变化行为分类【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,18,op_type1,扩展,扩展参数,否,是,dimension,来源游戏，其他补充信息内容【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,19,op_type2,扩展,扩展属性2,否,是,dimension,来源游戏，其他补充信息内容【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,20,op_type3,扩展,扩展属性3,否,是,dimension,来源游戏，其他补充信息内容【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
任务,106000,B,task,1.0 ,角色事件,"任务状态发生变化时触发
（示例：接受任务，完成任务，放弃任务等）",游戏服务端,"新手引导/进程分析（漏斗模型）
流失分析/游戏内流失分析
破冰分析/用户充值原因分析
客诉处理/客服明细查询工具",是,定制,"{
""format"": ""【{task_op_type}】【{task_type}】，任务ID：【{task_id}】，任务名【{task_name}】，耗时【{task_used_time}】秒"",
""filters"": [{
""field"": ""task_op_type"",
""op"": ""neq"",
""params"": [""1""]
}]
}",1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,task_id,扩展,任务id,是,否,dimension,来源游戏，角色接取/达成/完成相关任务id,,,,,,,,,,,,
,,,,,,,,,,,,13,task_name,扩展,任务名,是,否,string,来源游戏，角色接取/达成/完成相关任务名称,,,,,,,,,,,,
,,,,,,,,,,,,14,task_type,扩展,任务类型,是,是,dimension,来源游戏，角色接取/达成/完成相关任务类型，枚举说明【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,15,task_op_type,扩展,操作类型,是,是,dimension,来源游戏，枚举说明【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,16,task_used_time,扩展,任务时长,是,否,int,来源游戏，从任务接取到任务完成的时间(单位:秒),,,,,,,,,,,,
游戏服务端账号注册,107000,A,create_game_account,1.0 ,角色事件,"游戏服务端账号注册成功时记录；
玩家通过微信、美团、陌陌等小程序进入游戏后，是直接默认注册且创角，不需要玩家手动执行，但是玩家会因为机型老旧快速退出，存在SDK账号注册->角色创建转化低的情况，所以该埋点主要做注册转化漏斗分析使用，触发条件是游戏首次跟SDK openID绑定成功 生成游戏账号。
转化环节：SDK账号注册->游戏账号注册->角色创建",服务端,流失分析/转化分析（漏斗模型）,是,通用,,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,device_id,扩展,设备id,是,否,string,来源于绿岸CP-SDK包体，用户设备的唯一id，由CP-SDK透传给游戏记录,,,,,,,,,,,,
角色登录,107010,A,login,1,角色事件,4种情况下触发该事件：普通登录：角色正常登录游戏时记录断线重连：角色断线重连时记录跨天登陆：跨天登陆只记录在线角色(非挂机)且在跨天0点之后进行记录，并重置玩家登陆时间为次日0点0分0秒，在线时长重新结算。GM超登：在GM平台进行超登时记录,服务端,基础运营分析/实时数据基础运营分析/用户维度数据基础运营分析/区服维度数据流失分析/转化分析（漏斗模型）合服分析/用户活跃客诉处理/客服明细查询工具,是,通用,在IP【{user_ip}】进行游戏登录，本次登录类型为【{login_type}】,1,log_id,内置,日志id,是,是,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,是,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,是,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,是,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,是,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,是,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,是,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,是,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,是,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,login_type,扩展,登录类型,是,是,dimension,来源游戏，【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,13,last_offline_time,扩展,最后下线时间,是,是,string,来源游戏，最后下线时间，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,14,app_version,扩展,客户端版本号,否,是,string,来源CP-SDK，SDK客户端包体版本号,,,,,,,,,,,,
,,,,,,,,,,,,15,device_id,扩展,设备id,是,是,string,来源于绿岸CP-SDK包体，用户设备的唯一id，由CP-SDK透传给游戏记录,,,,,,,,,,,,
,,,,,,,,,,,,16,user_ip,扩展,用户IP地址,是,是,string,来源于绿岸CP-SDK包体，客户端记录的IP地址，由CP-SDK透传给游戏记录,,,,,,,,,,,,
,,,,,,,,,,,,17,platform,扩展,运行平台,否,是,dimension,来源CP-SDK，运行平台，如抖音小游戏、微信小游戏等,,,,,,,,,,,,
,,,,,,,,,,,,18,device_name,扩展,设备名称,否,是,string,来源CP-SDK，手机操作系统，如IOS、安卓,,,,,,,,,,,,
,,,,,,,,,,,,19,device_os,扩展,操作系统,否,是,dimension,来源CP-SDK，设备名称，如iPhone14 Pro等,,,,,,,,,,,,
角色创建,107020,A,create_role,1,角色事件,创角成功时记录,服务端,基础运营分析/实时数据基础运营分析/用户维度数据基础运营分析/区服维度数据流失分析/转化分析（漏斗模型）破冰分析/充值行为客诉处理/客服明细查询工具,是,通用,,1,log_id,内置,日志id,是,是,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,是,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,是,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,是,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,是,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,是,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,是,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,是,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,是,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,acc_role_num,扩展,账号已创角数量,是,是,int,来源游戏，统计该账号已创角过的角色数量，包含当次创角。,,,,,,,,,,,,
,,,,,,,,,,,,13,is_name_random,扩展,取名是否随机,是,是,dimension,来源游戏，枚举说明【0=手动输入，1=随机生成】 如无法满足请联系数据部门,,,,,,,,,,,,
,,,,,,,,,,,,14,device_id,扩展,设备id,是,是,string,来源于绿岸CP-SDK包体，用户设备的唯一id，由CP-SDK透传给游戏记录,,,,,,,,,,,,
,,,,,,,,,,,,15,user_ip,扩展,用户IP地址,是,是,string,来源于绿岸CP-SDK包体，客户端记录的IP地址，由CP-SDK透传给游戏记录,,,,,,,,,,,,
,,,,,,,,,,,,16,platform,扩展,运行平台,否,是,dimension,来源CP-SDK，运行平台，如抖音小游戏、微信小游戏等,,,,,,,,,,,,
,,,,,,,,,,,,17,device_name,扩展,设备名称,否,是,string,来源CP-SDK，手机操作系统，如IOS、安卓,,,,,,,,,,,,
,,,,,,,,,,,,18,device_os,扩展,操作系统,否,是,dimension,来源CP-SDK，设备名称，如iPhone14 Pro等,,,,,,,,,,,,
,,,,,,,,,,,,19,channel_id,扩展,渠道包ID,否,是,dimension,来源CP-SDK，渠道包ID,,,,,,,,,,,,
,,,,,,,,,,,,20,traffic_provider,扩展,流量渠道商,否,是,dimension,来源CP-SDK，流量渠道商，如广点通，巨量,,,,,,,,,,,,
角色登出,107030,A,logout,1,角色事件,5种情况下触发该事件：正常登出：角色正常退出游戏时记录gm命令踢下线：gm命令强制退出游戏连接断开：连接断开退出游戏顶号登出：顶号退出游戏跨天登出：跨天登出只记录在线角色(非挂机)且在跨天0点之后进行记录，但强制更改玩家下线时间为昨日23点59分59秒，并结算当次角色在线时长，次日在线从0点重新结算。超登：通过GM平台超登,服务端,流失分析/游戏内流失分析合服分析/战力分布客诉处理/客服明细查询工具财务对账/充值货币存量及产销,是,通用,通过【{logout_type}】登出游戏，本次在线时长【{online_time}】秒，充值货币余额【{money_balance}】，二级货币余额【{bmoney_balance}】,1,log_id,内置,日志id,是,是,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,是,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,是,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,是,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,是,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,是,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,是,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,是,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,是,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,login_time,扩展,本次会话登陆时间,是,是,string,来源游戏，角色本次会话的登陆时间，如：2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,13,online_time,扩展,本次在线时长,是,是,int,来源游戏，角色本次在线会话总时长，单位秒,,,,,,,,,,,,
,,,,,,,,,,,,14,logout_type,扩展,登出类型,是,是,dimension,来源游戏，【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,15,money_balance,扩展,开新币余额,是,是,int,来源游戏，角色登出时开新币的余额,,,,,,,,,,,,
,,,,,,,,,,,,16,bmoney_balance,扩展,钻石余额,是,是,int,来源游戏，角色登出时钻石的余额,,,,,,,,,,,,
,,,,,,,,,,,,17,device_id,扩展,设备id,是,是,string,来源于绿岸CP-SDK包体，用户设备的唯一id，由CP-SDK透传给游戏记录,,,,,,,,,,,,
,,,,,,,,,,,,18,platform,扩展,运行平台,否,是,dimension,来源CP-SDK，运行平台，如抖音小游戏、微信小游戏等,,,,,,,,,,,,
,,,,,,,,,,,,19,device_name,扩展,设备名称,否,是,string,来源CP-SDK，手机操作系统，如IOS、安卓,,,,,,,,,,,,
,,,,,,,,,,,,20,device_os,扩展,操作系统,否,是,dimension,来源CP-SDK，设备名称，如iPhone14 Pro等,,,,,,,,,,,,
角色改名,107070,A,role_rename,1.0 ,角色事件,角色改名成功时记录,服务端,客诉处理/客服明细查询工具,是,通用,从【{old_name}】改名为【{role_name}】,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,old_name,扩展,改名前角色名,是,否,string,来源于游戏，玩家的曾用名,,,,,,,,,,,,
,,,,,,,,,,,,13,namechange_result,扩展,改名结果,是,是,dimension,玩家此次改名操作结果，【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,14,namechange_detail,扩展,改名失败明细,是,是,string,玩家此次改名操作结果，【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,15,namechange_content,扩展,改名内容,是,否,string,玩家此次尝试改名的名字,,,,,,,,,,,,
,,,,,,,,,,,,16,namechange_failtype,扩展,改名失败类型,是,是,dimension,玩家此次改名失败的原因，【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
邮件,108000,B,mail,1.0 ,角色事件,"1.系统向全服发送的邮件 只记录一条；
2.玩家被动接收邮件时记录，包括GM发送，拍卖行发送，奖励发送；
3.玩家对邮件进行操作时记录，包括阅读邮件，领取附近，删除附件等操作。",服务端,客诉处理/客服明细查询工具,是,通用,,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,mail_id,扩展,邮件唯一id,否,否,string,来源游戏，邮件唯一id,,,,,,,,,,,,
,,,,,,,,,,,,13,mail_type,扩展,邮件类型,是,是,dimension,来源游戏，邮件类型【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,14,mail_type1,扩展,邮件类型1,是,是,dimension,来源游戏，邮件类型1【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
